Date,Total
2016/4/1,176
2016/4/2,114
2016/4/3,129
2016/4/4,143
2016/4/5,130
2016/4/6,178
2016/4/7,157
2016/4/8,181
2016/4/9,141
2016/4/10,135
2016/4/11,153
2016/4/12,141
2016/4/13,164
2016/4/14,175
2016/4/15,166
2016/4/16,137
2016/4/17,117
2016/4/18,166
2016/4/19,165
2016/4/20,149
2016/4/21,141
2016/4/22,144
2016/4/23,113
2016/4/24,110
2016/4/25,126
2016/4/26,135
2016/4/27,154
2016/4/28,177
2016/4/29,173
2016/4/30,136
2016/5/1,122
2016/5/2,137
2016/5/3,181
2016/5/4,233
2016/5/5,158
2016/5/6,180
2016/5/7,152
2016/5/8,148
2016/5/9,140
2016/5/10,181
2016/5/11,176
2016/5/12,164
2016/5/13,169
2016/5/14,160
2016/5/15,149
2016/5/16,122
2016/5/17,183
2016/5/18,156
2016/5/19,173
2016/5/20,178
2016/5/21,187
2016/5/22,141
2016/5/23,187
2016/5/24,163
2016/5/25,165
2016/5/26,183
2016/5/27,182
2016/5/28,181
2016/5/29,115
2016/5/30,170
2016/5/31,198
2016/6/1,176
2016/6/2,144
2016/6/3,173
2016/6/4,160
2016/6/5,135
2016/6/6,194
2016/6/7,191
2016/6/8,190
2016/6/9,218
2016/6/10,244
2016/6/11,168
2016/6/12,168
2016/6/13,154
2016/6/14,165
2016/6/15,174
2016/6/16,166
2016/6/17,183
2016/6/18,164
2016/6/19,147
2016/6/20,169
2016/6/21,167
2016/6/22,199
2016/6/23,221
2016/6/24,222
2016/6/25,159
2016/6/26,171
2016/6/27,152
2016/6/28,191
2016/6/29,191
2016/6/30,169
2016/7/1,197
2016/7/2,163
2016/7/3,145
2016/7/4,165
2016/7/5,189
2016/7/6,218
2016/7/7,209
2016/7/8,223
2016/7/9,200
2016/7/10,181
2016/7/11,181
2016/7/12,197
2016/7/13,192
2016/7/14,111
2016/7/15,147
2016/7/16,147
2016/7/17,133
2016/7/18,170
2016/7/19,156
2016/7/20,161
2016/7/21,156
2016/7/22,179
2016/7/23,159
2016/7/24,138
2016/7/25,158
2016/7/26,176
2016/7/27,157
2016/7/28,165
2016/7/29,167
2016/7/30,161
2016/7/31,149
2016/8/1,132
2016/8/2,164
2016/8/3,147
2016/8/4,151
2016/8/5,157
2016/8/6,148
2016/8/7,127
2016/8/8,139
2016/8/9,115
2016/8/10,115
2016/8/11,108
2016/8/12,143
2016/8/13,141
2016/8/14,121
2016/8/15,104
2016/8/16,130
2016/8/17,116
2016/8/18,133
2016/8/19,120
2016/8/20,144
2016/8/21,116
2016/8/22,172
2016/8/23,160
2016/8/24,140
2016/8/25,177
2016/8/26,160
2016/8/27,131
2016/8/28,132
2016/8/29,129
2016/8/30,176
2016/8/31,162
2016/9/1,176
2016/9/2,195
2016/9/3,157
2016/9/4,148
2016/9/5,217
2016/9/6,176
2016/9/7,209
2016/9/8,189
2016/9/9,227
2016/9/10,175
2016/9/11,151
2016/9/12,189
2016/9/13,176
2016/9/14,175
2016/9/15,179
2016/9/16,199
2016/9/17,138
2016/9/18,123
2016/9/19,159
2016/9/20,143
2016/9/21,200
2016/9/22,185
2016/9/23,204
2016/9/24,192
2016/9/25,158
2016/9/26,144
2016/9/27,189
2016/9/28,201
2016/9/29,207
2016/9/30,223
2016/10/1,171
2016/10/2,133
2016/10/3,213
2016/10/4,222
2016/10/5,194
2016/10/6,268
2016/10/7,200
2016/10/8,165
2016/10/9,146
2016/10/10,193
2016/10/11,194
2016/10/12,193
2016/10/13,196
2016/10/14,223
2016/10/15,182
2016/10/16,146
2016/10/17,183
2016/10/18,195
2016/10/19,180
2016/10/20,186
2016/10/21,167
2016/10/22,175
2016/10/23,135
2016/10/24,163
2016/10/25,159
2016/10/26,136
2016/10/27,189
2016/10/28,199
2016/10/29,171
2016/10/30,149
2016/10/31,166
2016/11/1,114
2016/11/2,152
2016/11/3,184
2016/11/4,222
2016/11/5,167
2016/11/6,136
2016/11/7,173
2016/11/8,191
2016/11/9,191
2016/11/10,230
2016/11/11,147
2016/11/12,176
2016/11/13,148
2016/11/14,165
2016/11/15,179
2016/11/16,180
2016/11/17,217
2016/11/18,223
2016/11/19,180
2016/11/20,137
2016/11/21,195
2016/11/22,163
2016/11/23,207
2016/11/24,161
2016/11/25,205
2016/11/26,154
2016/11/27,133
2016/11/28,194
2016/11/29,196
2016/11/30,232
2016/12/1,199
2016/12/2,222
2016/12/3,182
2016/12/4,124
2016/12/5,182
2016/12/6,208
2016/12/7,217
2016/12/8,192
2016/12/9,226
2016/12/10,193
2016/12/11,137
2016/12/12,211
2016/12/13,212
2016/12/14,198
2016/12/15,209
2016/12/16,222
2016/12/17,161
2016/12/18,127
2016/12/19,129
2016/12/20,120
2016/12/21,146
2016/12/22,196
2016/12/23,159
2016/12/24,131
2016/12/25,82
2016/12/26,112
2016/12/27,144
2016/12/28,139
2016/12/29,110
2016/12/30,125
2016/12/31,92
